county,strategy,water_saved_acft,revenue_lost,neb_normal,neb_drought,neb_incentive
San Joaquin,S0,0.0,0.0,0.0,0.0,0.0
San Joaquin,S1,1.141732283464567,324.0,-124.1968503937008,361.03937007874015,-24.1968503937008
San Joaquin,S2,1.7125984251968505,486.0,-186.29527559055117,541.5590551181103,-86.29527559055117
San Joaquin,S3,0.47982283464566927,165.0,-81.03100393700788,122.89370078740154,18.96899606299212
San Joaquin,S4,0.7421259842519685,66.0,63.87204724409449,379.2755905511811,163.8720472440945
San Joaquin,S5,0.8794291338582676,327.0,-173.09990157480317,200.6574803149606,-73.09990157480317
San Joaquin,S6,1.079232283464567,489.0,-300.1343503937008,158.53937007874015,-200.1343503937008
San Joaquin,S7,0.9842519685039369,405.0,-232.75590551181105,185.5511811023622,-132.75590551181105
Stanislaus,S0,0.0,0.0,0.0,0.0,0.0
Stanislaus,S1,1.0761154855643045,324.0,-162.58267716535434,214.05774278215222,-62.58267716535434
Stanislaus,S2,1.6141732283464567,486.0,-243.8740157480315,321.0866141732283,-143.8740157480315
Stanislaus,S3,0.47982283464566927,165.0,-93.02657480314961,74.91141732283464,6.9734251968503855
Stanislaus,S4,0.699475065616798,66.0,38.92125984251969,283.73753280839895,138.9212598425197
Stanislaus,S5,0.8564632545931758,327.0,-198.53051181102362,101.23162729658793,-98.53051181102362
Stanislaus,S6,1.0447834645669292,489.0,-332.2824803149606,33.391732283464535,-232.2824803149606
Stanislaus,S7,0.9842519685039369,405.0,-257.3622047244095,87.12598425196848,-157.36220472440948
Merced,S0,0.0,0.0,0.0,0.0,0.0
Merced,S1,1.0564304461942258,324.0,-139.1246719160105,415.501312335958,10.875328083989501
Merced,S2,1.5846456692913387,486.0,-208.68700787401576,623.251968503937,-58.68700787401576
Merced,S3,0.5404724409448818,165.0,-70.41732283464569,213.33070866141725,79.58267716535431
Merced,S4,0.6972440944881889,66.0,56.01771653543307,422.07086614173227,206.01771653543307
Merced,S5,0.8996587926509185,327.0,-169.55971128608925,302.761154855643,-19.559711286089254
Merced,S6,1.079251968503937,489.0,-300.130905511811,266.4763779527559,-150.13090551181102
Merced,S7,1.0236220472440944,405.0,-225.86614173228347,311.53543307086613,-75.86614173228347
Madera,S0,0.0,0.0,0.0,0.0,0.0
Madera,S1,1.1548556430446193,324.0,-93.02887139107614,542.1417322834644,56.97112860892386
Madera,S2,1.732283464566929,486.0,-139.54330708661422,813.2125984251968,10.45669291338578
Madera,S3,0.5592125984251968,165.0,-53.15748031496065,254.4094488188976,96.84251968503935
Madera,S4,0.7737532808398948,66.0,88.75065616797897,514.3149606299211,238.75065616797897
Madera,S5,0.9403149606299211,327.0,-138.93700787401576,378.2362204724409,11.062992125984238
Madera,S6,1.1308661417322834,489.0,-262.82677165354335,359.14960629921256,-112.82677165354335
Madera,S7,1.0433070866141732,405.0,-196.33858267716536,377.4803149606298,-46.33858267716536
Fresno,S0,0.0,0.0,0.0,0.0,0.0
Fresno,S1,1.1351706036745406,324.0,-96.96587926509187,584.1364829396325,103.03412073490813
Fresno,S2,1.7027559055118109,486.0,-145.4488188976378,876.2047244094488,54.55118110236219
Fresno,S3,0.6044947506561679,165.0,-44.101049868766424,318.5958005249343,155.89895013123356
Fresno,S4,0.7605643044619421,66.0,86.11286089238843,542.4514435695537,286.1128608923884
Fresno,S5,0.9791010498687662,327.0,-131.17979002624676,456.28083989501295,68.82020997375324
Fresno,S6,1.1664041994750654,489.0,-255.71916010498694,444.12335958005224,-55.71916010498694
Fresno,S7,1.0826771653543306,405.0,-188.4645669291339,461.1417322834644,11.535433070866105
Tulare,S0,0.0,0.0,0.0,0.0,0.0
Tulare,S1,1.0958005249343832,324.0,-50.04986876640419,771.8005249343832,199.9501312335958
Tulare,S2,1.6437007874015748,486.0,-75.07480314960628,1157.7007874015749,174.92519685039372
Tulare,S3,0.6044947506561679,165.0,-13.876312335958033,439.49475065616787,236.12368766404197
Tulare,S4,0.7341863517060366,66.0,117.54658792650915,668.1863517060366,367.5465879265091
Tulare,S5,0.9661089238845144,327.0,-85.4727690288714,639.1089238845144,164.5272309711286
Tulare,S6,1.1469160104986875,489.0,-202.27099737532814,657.9160104986875,47.729002624671864
Tulare,S7,1.0826771653543306,405.0,-134.33070866141736,677.6771653543306,115.66929133858264
Kings,S0,0.0,0.0,0.0,0.0,0.0
Kings,S1,1.1286089238845145,324.0,-41.84776902887137,804.6089238845145,208.15223097112863
Kings,S2,1.6929133858267718,486.0,-62.77165354330708,1206.9133858267717,187.22834645669292
Kings,S3,0.6380577427821522,165.0,-5.4855643044619455,473.0577427821522,244.51443569553805
Kings,S4,0.7674540682414698,66.0,125.86351706036746,701.4540682414698,375.8635170603675
Kings,S5,0.9992125984251969,327.0,-77.19685039370077,672.2125984251969,172.80314960629923
Kings,S6,1.1797900262467191,489.0,-194.0524934383202,690.7900262467192,55.9475065616798
Kings,S7,1.0826771653543306,405.0,-134.33070866141736,677.6771653543306,115.66929133858264
Kern,S0,0.0,0.0,0.0,0.0,0.0
Kern,S1,1.0433070866141732,324.0,41.157480314960594,927.9685039370079,341.1574803149606
Kern,S2,1.5649606299212597,486.0,61.73622047244089,1391.9527559055116,361.7362204724409
Kern,S3,0.7470472440944881,165.0,96.46653543307082,731.4566929133857,396.4665354330708
Kern,S4,0.7198818897637794,66.0,185.9586614173228,797.8582677165354,485.9586614173228
Kern,S5,1.0704724409448818,327.0,47.665354330708624,957.5669291338581,347.6653543307086
Kern,S6,1.2321850393700786,489.0,-57.73523622047247,989.6220472440943,242.26476377952753
Kern,S7,1.1811023622047243,405.0,8.385826771653512,1012.3228346456692,308.3858267716535
Riverside,S0,0.0,0.0,0.0,0.0,0.0
Riverside,S1,1.732283464566929,486.0,-139.54330708661422,553.3700787401574,60.45669291338578
Riverside,S2,2.3097112860892386,648.0,-186.05774278215227,737.8267716535431,13.942257217847725
Riverside,S3,0.8956692913385826,165.0,14.133858267716533,372.40157480314963,214.13385826771653
Riverside,S4,0.8083989501312334,66.0,95.67979002624668,419.03937007874003,295.6797900262467
Riverside,S5,1.4153543307086613,489.0,-205.92913385826773,360.2125984251968,-5.929133858267733
Riverside,S6,1.5885826771653542,651.0,-333.2834645669292,302.14960629921245,-133.28346456692918
Riverside,S7,1.279527559055118,405.0,-149.09448818897638,362.7165354330708,50.905511811023615
Imperial,S0,0.0,0.0,0.0,0.0,0.0
Imperial,S1,1.7224409448818898,486.0,-448.1062992125984,-448.1062992125984,151.8937007874016
Imperial,S2,2.2965879265091864,648.0,-597.4750656167979,-597.4750656167979,2.524934383202094
Imperial,S3,1.1414041994750654,165.0,-139.88910761154855,-139.88910761154855,460.1108923884515
Imperial,S4,0.8152887139107612,66.0,-48.063648293963254,-48.063648293963254,551.9363517060367
Imperial,S5,1.6409120734908136,489.0,-452.8999343832021,-452.8999343832021,147.1000656167979
Imperial,S6,1.8074146981627295,651.0,-611.23687664042,-611.23687664042,-11.23687664041995
Imperial,S7,1.3779527559055118,405.0,-374.68503937007875,-374.68503937007875,225.31496062992125
